step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,source_account,destination_account,graph_score,ring_detected,triangle_cycle_detected,hub_flag,mule_flag,burst_cluster_flag,suspicious_connection_count,shared_counterparties,source_out_degree,destination_in_degree,bridge_flag,destination_repeat_rate,source_repeat_rate,prior_risk_hits,client_id,timestamp,predicted_risk,predicted_probability,anomaly_score,confirmed_label,isFraud
3,CASH_IN,8092.29,8276.36,184.07,448.18,8540.47,user-1346,merchant-990,0.2,False,False,True,False,False,0,0,2,23,False,0.0,0.0,0,background-stream,2026-03-30T02:42:13.566468,LOW,0.065,0.212523,,0
4,CASH_OUT,6665.52,13462.28,6796.76,8862.86,15528.38,user-6077,merchant-417,0.2,False,False,True,False,False,0,0,3,21,False,0.0,0.0,0,background-stream,2026-03-30T02:42:15.877144,LOW,0.065016,0.231724,,0
12,PAYMENT,2788.31,21639.88,18851.57,6682.98,9471.29,user-7821,merchant-424,0.2,False,False,True,False,False,0,0,3,25,False,0.0,0.0,0,background-stream,2026-03-30T02:42:18.120064,MEDIUM,0.765,0.219729,,0
16,CASH_IN,3547.29,5097.42,1550.13,13658.65,17205.94,user-5499,merchant-643,0.25,False,False,True,False,False,0,0,1,32,False,0.0,0.0,1,background-stream,2026-03-30T02:42:20.340354,MEDIUM,0.770405,0.143222,,0
14,PAYMENT,522.75,5762.82,5240.07,11391.67,11914.42,user-1320,merchant-594,0.2,False,False,True,False,False,0,0,8,22,False,0.0,0.0,0,background-stream,2026-03-30T02:42:22.575483,MEDIUM,0.765,0.204062,,0
17,TRANSFER,5154.02,15569.78,10415.76,14744.93,19898.95,user-6307,merchant-369,0.2,False,False,True,False,False,0,0,2,28,False,0.0,0.0,0,background-stream,2026-03-30T02:42:24.808331,MEDIUM,0.765,0.162027,,0
17,CASH_IN,4993.53,19677.04,14683.51,13010.43,18003.96,user-7493,merchant-894,0.2,False,False,True,False,False,0,0,4,21,False,0.0,0.0,0,background-stream,2026-03-30T02:42:27.132440,MEDIUM,0.765,0.154305,,0
21,CASH_OUT,2529.94,18125.03,15595.09,4079.98,6609.92,user-8941,merchant-897,0.2,False,False,True,False,False,0,0,2,32,False,0.0,0.0,0,background-stream,2026-03-30T02:42:29.381413,MEDIUM,0.765,0.171728,,0
23,PAYMENT,2559.96,12524.02,9964.06,766.31,3326.27,user-9881,merchant-678,0.2,False,False,True,False,False,0,0,5,37,False,0.0,0.0,0,background-stream,2026-03-30T02:42:31.628210,MEDIUM,0.765,0.233868,,0
17,CASH_IN,374.14,19815.13,19440.99,14100.8,14474.94,user-5764,merchant-408,0.2,False,False,True,False,False,0,0,4,27,False,0.0,0.0,0,background-stream,2026-03-30T02:42:33.860165,MEDIUM,0.765,0.154085,,0
14,DEBIT,2924.17,9368.58,6444.41,18219.3,21143.47,user-1897,merchant-336,0.2,False,False,True,False,False,0,0,6,33,False,0.0,0.0,0,background-stream,2026-03-30T02:42:36.123591,MEDIUM,0.781948,0.110454,,0
20,CASH_IN,337.47,2620.7,2283.23,8697.74,9035.21,user-6559,merchant-765,0.2,False,False,True,False,False,0,0,5,35,False,0.0,0.0,0,background-stream,2026-03-30T02:42:38.374786,MEDIUM,0.765,0.161933,,0
7,DEBIT,2638.37,19377.97,16739.6,19546.66,22185.03,user-2634,merchant-329,0.2,False,False,True,False,False,0,0,3,28,False,0.0,0.0,0,background-stream,2026-03-30T02:42:40.608487,LOW,0.065,0.177331,,0
16,DEBIT,4014.35,6986.33,2971.98,14782.89,18797.24,user-8900,merchant-228,0.2,False,False,True,False,False,0,0,5,27,False,0.0,0.0,0,background-stream,2026-03-30T02:42:42.856604,MEDIUM,0.781284,0.112004,,0
21,TRANSFER,4845.45,21844.73,16999.28,11676.47,16521.92,user-6217,merchant-978,0.2,False,False,True,False,False,0,0,3,26,False,0.0,0.0,0,background-stream,2026-03-30T02:42:45.118995,MEDIUM,0.765,0.164634,,0
24,PAYMENT,8189.48,20700.51,12511.03,14287.73,22477.21,user-8960,merchant-106,0.2,False,False,True,False,False,0,0,3,32,False,0.0,0.0,0,background-stream,2026-03-30T02:42:47.351921,MEDIUM,0.765,0.241225,,0
3,CASH_OUT,7332.39,14508.22,7175.83,12496.81,19829.2,user-7724,merchant-599,0.2,False,False,True,False,False,0,0,2,32,False,0.0,0.0,0,background-stream,2026-03-30T02:42:49.665441,LOW,0.065001,0.232043,,0
10,CASH_IN,8823.2,27932.73,19109.53,11390.1,20213.3,user-5839,merchant-721,0.2,False,False,True,False,False,0,0,2,25,False,0.0,0.0,0,background-stream,2026-03-30T02:42:51.971701,MEDIUM,0.765,0.17663,,0
5,CASH_IN,5015.03,8725.91,3710.88,1720.5,6735.53,user-9334,merchant-572,0.2,False,False,True,False,False,0,0,3,21,False,0.0,0.0,0,background-stream,2026-03-30T02:42:54.224628,LOW,0.065,0.216467,,0
16,CASH_OUT,4864.87,6586.98,1722.11,15887.64,20752.51,user-4086,merchant-832,0.2,False,False,True,False,False,0,0,1,23,False,0.0,0.0,0,background-stream,2026-03-30T02:42:56.463118,MEDIUM,0.765,0.163115,,0
24,TRANSFER,863.97,15228.53,14364.56,6476.4,7340.37,user-1742,merchant-581,0.2,False,False,True,False,False,0,0,0,26,False,0.0,0.0,0,background-stream,2026-03-30T02:42:58.700239,MEDIUM,0.765,0.18939,,0
8,CASH_OUT,683.08,13401.14,12718.06,14055.51,14738.59,user-2460,merchant-154,0.2,False,False,True,False,False,0,0,3,42,False,0.0,0.0,0,background-stream,2026-03-30T02:43:00.976633,MEDIUM,0.764999,0.215723,,0
1,DEBIT,5962.62,14834.9,8872.28,16510.8,22473.42,user-7749,merchant-152,0.2,False,False,True,False,False,0,0,4,23,False,0.0,0.0,0,background-stream,2026-03-30T02:43:03.202161,LOW,0.065,0.190384,,0
7,PAYMENT,7289.37,16756.24,9466.87,4189.73,11479.1,user-2992,merchant-596,0.25,False,False,True,False,False,0,0,2,28,False,0.0,0.0,1,background-stream,2026-03-30T02:43:05.872835,LOW,0.0675,0.281314,,0
10,CASH_OUT,6035.57,13603.51,7567.94,14552.13,20587.7,user-6627,merchant-587,0.2,False,False,True,False,False,0,0,1,22,False,0.0,0.0,0,background-stream,2026-03-30T02:43:08.068099,MEDIUM,0.765,0.194453,,0
3,PAYMENT,1825.08,2407.56,582.48,7645.75,9470.83,user-7503,merchant-782,0.2,False,False,True,False,False,0,0,2,30,False,0.0,0.0,0,background-stream,2026-03-30T02:43:10.286596,LOW,0.065,0.266404,,0
10,CASH_OUT,9872.67,20454.91,10582.24,11596.28,21468.95,user-1312,merchant-381,0.2,False,False,True,False,False,0,0,3,39,False,0.0,0.0,0,background-stream,2026-03-30T02:43:12.553819,MEDIUM,0.765,0.193261,,0
24,DEBIT,8176.9,22359.01,14182.11,18891.67,27068.57,user-8951,merchant-295,0.2,False,False,True,False,False,0,0,1,29,False,0.0,0.0,0,background-stream,2026-03-30T02:43:14.815834,MEDIUM,0.765,0.153485,,0
15,CASH_IN,2641.71,6376.57,3734.86,13725.89,16367.6,user-1333,merchant-503,0.2,False,False,True,False,False,0,0,2,21,False,0.0,0.0,0,background-stream,2026-03-30T02:43:17.111671,MEDIUM,0.76802,0.142951,,0
24,TRANSFER,3594.96,22465.44,18870.48,4871.13,8466.09,user-6309,merchant-482,0.2,False,False,True,False,False,0,0,2,27,False,0.0,0.0,0,background-stream,2026-03-30T02:43:19.349790,MEDIUM,0.765,0.187844,,0
19,DEBIT,3892.23,19702.04,15809.81,11512.66,15404.89,user-3171,merchant-649,0.2,False,False,True,False,False,0,0,2,28,False,0.0,0.0,0,background-stream,2026-03-30T02:43:21.553270,MEDIUM,0.776931,0.122161,,0
18,PAYMENT,7900.27,10738.13,2837.86,19355.86,27256.13,user-1160,merchant-151,0.2,False,False,True,False,False,0,0,2,28,False,0.0,0.0,0,background-stream,2026-03-30T02:43:23.857836,MEDIUM,0.765,0.215546,,0
15,CASH_OUT,2481.83,14460.76,11978.93,19934.81,22416.64,user-5231,merchant-302,0.2,False,False,True,False,False,0,0,3,32,False,0.0,0.0,0,background-stream,2026-03-30T02:43:26.191023,MEDIUM,0.765,0.154444,,0
12,CASH_OUT,487.32,16259.49,15772.17,13758.18,14245.5,user-8393,merchant-910,0.2,False,False,True,False,False,0,0,1,30,False,0.0,0.0,0,background-stream,2026-03-30T02:43:28.433973,MEDIUM,0.765,0.171807,,0
18,DEBIT,4587.2,14135.19,9547.99,7597.13,12184.33,user-8622,merchant-870,0.2,False,False,True,False,False,0,0,4,34,False,0.0,0.0,0,background-stream,2026-03-30T02:43:30.717149,MEDIUM,0.776916,0.122196,,0
22,TRANSFER,3007.95,22396.46,19388.51,7120.53,10128.48,user-9240,merchant-211,0.2,False,False,True,False,False,0,0,3,37,False,0.0,0.0,0,background-stream,2026-03-30T02:43:33.143585,MEDIUM,0.765,0.167407,,0
12,DEBIT,1642.38,15867.07,14224.69,10968.82,12611.2,user-7275,merchant-453,0.2,False,False,True,False,False,0,0,2,27,False,0.0,0.0,0,background-stream,2026-03-30T02:43:36.673649,MEDIUM,0.775051,0.126547,,0
20,DEBIT,2044.41,11191.58,9147.17,5874.25,7918.66,user-3469,merchant-961,0.3,False,False,True,False,False,0,0,2,28,False,0.0,0.0,2,background-stream,2026-03-30T02:43:39.467280,MEDIUM,0.778992,0.129018,,0
8,CASH_IN,1010.49,13571.97,12561.48,17302.5,18312.99,user-8936,merchant-228,0.2,False,False,True,False,False,0,0,3,28,False,0.0,0.0,0,background-stream,2026-03-30T02:43:41.727782,MEDIUM,0.764999,0.198187,,0
1,TRANSFER,2916.54,10978.64,8062.1,11432.75,14349.29,user-7443,merchant-356,0.2,False,False,True,False,False,0,0,4,21,False,0.0,0.0,0,background-stream,2026-03-30T02:43:44.020335,LOW,0.065,0.219447,,0
10,TRANSFER,5053.8,11311.32,6257.52,7993.02,13046.82,user-3929,merchant-284,0.2,False,False,True,False,False,0,0,3,20,False,0.0,0.0,0,background-stream,2026-03-30T02:43:46.315226,MEDIUM,0.764999,0.185859,,0
8,DEBIT,466.34,17711.13,17244.79,4866.89,5333.23,user-9953,merchant-670,0.2,False,False,True,False,False,0,0,4,23,False,0.0,0.0,0,background-stream,2026-03-30T02:43:48.631843,MEDIUM,0.765,0.159654,,0
1,TRANSFER,7544.07,10021.39,2477.32,17498.51,25042.58,user-4193,merchant-318,0.2,False,False,True,False,False,0,0,1,20,False,0.0,0.0,0,background-stream,2026-03-30T02:43:50.940206,LOW,0.065,0.220951,,0
7,DEBIT,4402.63,20871.83,16469.2,1580.14,5982.77,user-4466,merchant-145,0.2,False,False,True,False,False,0,0,3,32,False,0.0,0.0,0,background-stream,2026-03-30T02:43:53.249172,LOW,0.065,0.177407,,0
12,DEBIT,893.28,12333.4,11440.12,6972.77,7866.05,user-6012,merchant-131,0.2,False,False,True,False,False,0,0,3,23,False,0.0,0.0,0,background-stream,2026-03-30T02:43:55.530412,MEDIUM,0.775143,0.126332,,0
6,CASH_IN,7224.72,22764.31,15539.59,3800.95,11025.67,user-2589,merchant-720,0.2,False,False,True,False,False,0,0,2,30,False,0.0,0.0,0,background-stream,2026-03-30T02:43:57.819377,LOW,0.065,0.216395,,0
14,DEBIT,723.13,3397.21,2674.08,9589.35,10312.48,user-2037,merchant-932,0.2,False,False,True,False,False,0,0,2,31,False,0.0,0.0,0,background-stream,2026-03-30T02:44:00.253079,MEDIUM,0.78194,0.110471,,0
17,CASH_IN,4325.91,19711.59,15385.68,6385.65,10711.56,user-6309,merchant-619,0.2,False,False,True,False,False,0,0,3,30,False,0.0,0.0,0,background-stream,2026-03-30T02:44:02.520294,MEDIUM,0.765,0.154085,,0
11,TRANSFER,5101.79,8371.69,3269.9,317.75,5419.54,user-7378,merchant-158,0.2,False,False,True,False,False,0,0,2,30,False,0.0,0.0,0,background-stream,2026-03-30T02:44:04.751519,MEDIUM,0.765,0.174859,,0
18,PAYMENT,5383.11,11518.62,6135.51,19081.67,24464.78,user-3844,merchant-737,0.2,False,False,True,False,False,0,0,3,26,False,0.0,0.0,0,background-stream,2026-03-30T02:44:06.944902,MEDIUM,0.765,0.216629,,0
16,CASH_OUT,7516.8,26781.82,19265.02,14294.28,21811.08,user-1722,merchant-835,0.2,False,False,True,False,False,0,0,1,27,False,0.0,0.0,0,background-stream,2026-03-30T02:44:09.269216,MEDIUM,0.765,0.155144,,0
3,PAYMENT,9915.42,9964.01,48.59,8852.09,18767.51,user-7793,merchant-771,0.2,False,False,True,False,False,0,0,1,24,False,0.0,0.0,0,background-stream,2026-03-30T02:44:11.576318,HIGH,0.11,0.265724,,1
20,CASH_IN,6693.11,9024.1,2330.99,15822.2,22515.31,user-6271,merchant-291,0.25,False,False,True,False,False,0,0,3,28,False,0.0,0.0,1,background-stream,2026-03-30T02:44:14.094457,MEDIUM,0.7675,0.162114,,0
2,CASH_IN,9819.39,26594.26,16774.87,11034.69,20854.08,user-4446,merchant-498,0.2,False,False,True,False,False,0,0,2,26,False,0.0,0.0,0,background-stream,2026-03-30T02:44:16.341685,LOW,0.065,0.208694,,0
13,PAYMENT,588.39,10478.19,9889.8,5128.55,5716.94,user-3455,merchant-494,0.2,False,False,True,False,False,0,0,3,36,False,0.0,0.0,0,background-stream,2026-03-30T02:44:18.593154,MEDIUM,0.765,0.207318,,0
9,CASH_OUT,7749.31,15186.19,7436.88,6099.36,13848.67,user-6928,merchant-527,0.2,False,False,True,False,False,0,0,2,26,False,0.0,0.0,0,background-stream,2026-03-30T02:44:20.858895,MEDIUM,0.765,0.207622,,0
1,PAYMENT,3349.83,6037.62,2687.79,1970.51,5320.34,user-4108,merchant-681,0.2,False,False,True,False,False,0,0,1,32,False,0.0,0.0,0,background-stream,2026-03-30T02:44:23.222987,LOW,0.065,0.271692,,0
4,CASH_IN,2753.24,21188.88,18435.64,5125.55,7878.79,user-5559,merchant-792,0.25,False,False,True,False,False,0,0,2,28,False,0.0,0.0,1,background-stream,2026-03-30T02:44:25.483746,LOW,0.0675,0.212137,,0
10,TRANSFER,8394.1,9383.16,989.06,8874.4,17268.5,user-1771,merchant-134,0.2,False,False,True,False,False,0,0,2,32,False,0.0,0.0,0,background-stream,2026-03-30T02:44:27.705849,MEDIUM,0.765,0.188698,,0
5,CASH_IN,8257.28,27670.37,19413.09,8354.31,16611.59,user-3250,merchant-525,0.2,False,False,True,False,False,0,0,2,28,False,0.0,0.0,0,background-stream,2026-03-30T02:44:29.967565,LOW,0.065,0.216157,,0
21,PAYMENT,9207.13,23114.17,13907.04,3832.17,13039.3,user-3552,merchant-118,0.2,False,False,True,False,False,0,0,1,27,False,0.0,0.0,0,background-stream,2026-03-30T02:44:32.226872,MEDIUM,0.765,0.216931,,0
24,CASH_OUT,8709.43,18318.72,9609.29,3958.71,12668.14,user-4607,merchant-880,0.2,False,False,True,False,False,0,0,4,29,False,0.0,0.0,0,background-stream,2026-03-30T02:44:34.532461,MEDIUM,0.765,0.196668,,0
5,PAYMENT,7069.25,9346.34,2277.09,8175.32,15244.57,user-7832,merchant-425,0.2,False,False,True,False,False,0,0,3,17,False,0.0,0.0,0,background-stream,2026-03-30T02:44:36.784034,LOW,0.065,0.274581,,0
23,TRANSFER,2849.71,12256.1,9406.39,6286.8,9136.51,user-7346,merchant-500,0.2,False,False,True,False,False,0,0,3,31,False,0.0,0.0,0,background-stream,2026-03-30T02:44:38.988081,MEDIUM,0.765,0.181371,,0
22,CASH_IN,2730.73,15365.16,12634.43,16500.68,19231.41,user-5203,merchant-932,0.2,False,False,True,False,False,0,0,8,32,False,0.0,0.0,0,background-stream,2026-03-30T02:44:41.230355,MEDIUM,0.765,0.166491,,0
20,PAYMENT,4394.55,12861.98,8467.43,7974.31,12368.86,user-6383,merchant-441,0.2,False,False,True,False,False,0,0,3,28,False,0.0,0.0,0,background-stream,2026-03-30T02:44:43.472028,MEDIUM,0.765,0.218078,,0
7,CASH_IN,8597.16,24572.14,15974.98,3758.73,12355.89,user-4382,merchant-168,0.2,False,False,True,False,False,0,0,3,39,False,0.0,0.0,0,background-stream,2026-03-30T02:44:45.770325,LOW,0.065,0.216903,,0
19,DEBIT,7205.46,10992.15,3786.69,16598.57,23804.03,user-1586,merchant-838,0.2,False,False,True,False,False,0,0,2,29,False,0.0,0.0,0,background-stream,2026-03-30T02:44:48.022335,MEDIUM,0.777348,0.121186,,0
7,TRANSFER,1197.48,6535.28,5337.8,18439.64,19637.12,user-5984,merchant-368,0.2,False,False,True,False,False,0,0,1,26,False,0.0,0.0,0,background-stream,2026-03-30T02:44:50.265501,LOW,0.065,0.228666,,0
23,TRANSFER,138.67,11591.49,11452.82,1144.19,1282.86,user-5156,merchant-572,0.2,False,False,True,False,False,0,0,1,22,False,0.0,0.0,0,background-stream,2026-03-30T02:44:52.494780,MEDIUM,0.765,0.180329,,0
4,PAYMENT,7034.27,11773.96,4739.69,11720.74,18755.01,user-9714,merchant-938,0.25,False,False,True,False,False,0,0,4,24,False,0.0,0.0,1,background-stream,2026-03-30T02:44:54.727539,LOW,0.0675,0.268794,,0
18,CASH_OUT,1454.33,15467.68,14013.35,3685.75,5140.08,user-3295,merchant-976,0.2,False,False,True,False,False,0,0,2,35,False,0.0,0.0,0,background-stream,2026-03-30T02:44:57.021740,MEDIUM,0.765,0.170297,,0
10,PAYMENT,7751.21,14699.48,6948.27,963.78,8714.99,user-1933,merchant-701,0.2,False,False,True,False,False,0,0,3,32,False,0.0,0.0,0,background-stream,2026-03-30T02:44:59.259499,MEDIUM,0.764999,0.240335,,0
24,DEBIT,6020.45,20788.55,14768.1,10553.75,16574.2,user-6136,merchant-814,0.2,False,False,True,False,False,0,0,5,28,False,0.0,0.0,0,background-stream,2026-03-30T02:45:01.497953,MEDIUM,0.765,0.153918,,0
17,PAYMENT,1758.06,18864.16,17106.1,14420.61,16178.67,user-3369,merchant-329,0.2,False,False,True,False,False,0,0,2,29,False,0.0,0.0,0,background-stream,2026-03-30T02:45:03.768914,MEDIUM,0.765,0.213655,,0
21,CASH_OUT,4666.17,14259.37,9593.2,17775.96,22442.13,user-2957,merchant-237,0.2,False,False,True,False,False,0,0,3,31,False,0.0,0.0,0,background-stream,2026-03-30T02:45:06.088591,MEDIUM,0.765,0.17266,,0
17,DEBIT,9491.55,14339.57,4848.02,10342.59,19834.14,user-4011,merchant-426,0.2,False,False,True,False,False,0,0,3,26,False,0.0,0.0,0,background-stream,2026-03-30T02:45:08.360491,MEDIUM,0.778321,0.118916,,0
18,TRANSFER,7465.47,19522.35,12056.88,5718.43,13183.9,user-3928,merchant-140,0.2,False,False,True,False,False,0,0,0,34,False,0.0,0.0,0,background-stream,2026-03-30T02:45:10.607143,MEDIUM,0.765,0.160713,,0
2,PAYMENT,3803.36,11642.85,7839.49,3710.24,7513.6,user-9540,merchant-682,0.2,False,False,True,False,False,0,0,4,27,False,0.0,0.0,0,background-stream,2026-03-30T02:45:12.888030,LOW,0.065,0.268138,,0
20,PAYMENT,8337.21,27363.64,19026.43,18431.63,26768.84,user-4317,merchant-681,0.2,False,False,True,False,False,0,0,1,33,False,0.0,0.0,0,background-stream,2026-03-30T02:45:15.180310,MEDIUM,0.765,0.216551,,0
7,DEBIT,920.14,2520.7,1600.56,15425.26,16345.4,user-2530,merchant-811,0.2,False,False,True,False,False,0,0,1,23,False,0.0,0.0,0,background-stream,2026-03-30T02:45:17.467916,LOW,0.065,0.177068,,0
9,CASH_IN,3288.28,12309.54,9021.26,1094.1,4382.38,user-9980,merchant-450,0.2,False,False,True,False,False,0,0,3,30,False,0.0,0.0,0,background-stream,2026-03-30T02:45:19.966143,MEDIUM,0.765,0.188244,,0
